,Unnamed: 0,red_cube_start,blue_cube_start,yellow_cube_start,green_cube_start,Text Question,block_for_task,cat,other_blocks,red_cube_goal,blue_cube_goal,yellow_cube_goal,green_cube_goal,observation
155,155,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured blue and place it at [-0.3   0.55],1,0,,"(0.0, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
160,160,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured yellow and place it between the blocks that are coloured the royal one and coloured lime,2,2,[1 3],"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
162,162,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured blue and place it at [-0.3  0.4],1,0,,"(-0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
163,163,"(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)",Take the block that is leftmost and place it 0.3 horizontally and -0.3 vertically relative to the block that is coloured sapphire,2,1,1,"(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.3, 0.55)
Blue Cube: (0.0, 0.55)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
166,166,"(0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured blue and place it at [0.3 0.4],1,0,,"(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.3, 0.4)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
168,168,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured sapphire and place it between the blocks that are coloured the color of warning signs and rightmost,1,2,[2 3],"(0.0, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.15, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
171,171,"(0.3, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is lowest and place it at [0.   0.25],3,0,,"(0.3, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (-0.15, 0.4)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
179,179,"(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured blue and place it between the blocks that are coloured red and coloured mustard,1,2,[0 2],"(0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.0, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
182,182,"(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured red and place it 0.45 horizontally and 0.0 vertically relative to the block that is coloured yellow,0,1,2,"(0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.15, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
185,185,"(-0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured sapphire and place it 0.3 horizontally and 0.3 vertically relative to the block that is coloured yellow,1,1,2,"(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
190,190,"(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is rightmost and place it at [0.3  0.55],0,0,,"(0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
191,191,"(0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured blue and place it at [-0.3   0.25],1,0,,"(0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
192,192,"(0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured love-coloured and place it -0.15 horizontally and 0.3 vertically relative to the block that is coloured yellow,0,1,2,"(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
193,193,"(0.3, 0.4, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured the sad one and place it -0.45 horizontally and 0.15 vertically relative to the block that is coloured red,1,1,0,"(0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.0, 0.4)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
195,195,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured blood-coloured and place it at [0.   0.55],0,0,,"(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
196,196,"(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","Take the block that is (-0.15, 0.15) from the red block and place it between the blocks that are coloured the eco-friendly one and coloured blood-coloured",2,2,[3 0],"(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.08, 0.32, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.3, 0.55)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
197,197,"(0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured yellow and place it -0.3 horizontally and 0.0 vertically relative to the block that is coloured green,2,1,3,"(0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.0, 0.25)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
198,198,"(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured green and place it between the blocks that are coloured blue and coloured yellow,3,2,[1 2],"(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
203,203,"(0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured green and place it -0.15 horizontally and -0.15 vertically relative to the block that is coloured love-coloured,3,1,0,"(0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
204,204,"(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured lemon and place it between the blocks that are coloured green and coloured ocean ball,2,2,[3 1],"(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
207,207,"(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured associated with war and place it between the blocks that are leftmost and coloured blue,0,2,[3 1],"(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.15, 0.55)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
208,208,"(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured blue and place it -0.45 horizontally and 0.15 vertically relative to the block that is coloured yellow,1,1,2,"(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
209,209,"(0.0, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured green and place it -0.15 horizontally and 0.0 vertically relative to the block that is highest,3,1,1,"(0.0, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
214,214,"(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","Take the block that is rightmost and place it between the blocks that are (-0.3, 0.15) from the red block and coloured jade",0,2,[2 3],"(0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
218,218,"(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured yellow and place it between the blocks that are coloured red and coloured the eco-friendly one,2,2,[0 3],"(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.0, 0.25)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
226,226,"(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured red and place it 0.0 horizontally and -0.3 vertically relative to the block that is coloured banana-coloured,0,1,2,"(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
227,227,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is lowest and place it at [-0.15  0.25],2,0,,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.15, 0.55)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
229,229,"(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured butter-coloured and place it between the blocks that are coloured the sad one and coloured green,2,2,[1 3],"(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.15, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
230,230,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured yellow and place it at [-0.15  0.4 ],2,0,,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.0, 0.25)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
231,231,"(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured red and place it at [-0.15  0.4 ],0,0,,"(-0.15, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.0, 0.25)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
233,233,"(0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured blue and place it at [0.3 0.4],1,0,,"(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
235,235,"(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured yellow and place it at [0.3 0.4],2,0,,"(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.15, 0.55)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
237,237,"(-0.3, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured cobalt and place it at [-0.3   0.55],1,0,,"(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (-0.15, 0.55)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
238,238,"(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","Take the block that is (-0.3, -0.15) from the red block and place it at [0.15 0.4 ]",3,0,,"(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.0, 0.4)
Blue Cube: (0.15, 0.55)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
240,240,"(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)",Take the block that is rightmost and place it at [0.  0.4],3,0,,"(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
245,245,"(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","Take the block that is (-0.15, -0.15) from the red block and place it between the blocks that are (0.15, 0.15) from the blue block and coloured green",1,2,[0 3],"(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
248,248,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.4, 0.02)",Take the block that is highest and place it at [0.  0.4],2,0,,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.15, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
249,249,"(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured yellow and place it between the blocks that are rightmost and coloured blue,2,2,[0 1],"(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.08, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
253,253,"(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured red and place it 0.45 horizontally and 0.15 vertically relative to the block that is coloured the colour of the US democratic party,0,1,1,"(0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.0, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
259,259,"(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","Take the block that is (0.45, 0.15) from the yellow block and place it at [0.3  0.55]",0,0,,"(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (0.15, 0.55)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
261,261,"(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured green and place it 0.45 horizontally and -0.3 vertically relative to the block that is coloured red,3,1,0,"(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
